QUEST_LV_0200_20150317_000001	Солдат Филиппа	필리파스 직속 부대원
QUEST_LV_0200_20150317_000302	Рофдел будет наблюдать со сторожевой башни, но в такой туманный день, как этот, он не будет предпринимать никаких действий.	망루에서 로프델이 지켜보고 있겠지만 시야가 흐린 오늘같은 날엔 조치를 취하진 않을 겁니다.
QUEST_LV_0200_20150317_000303	Стефонас благополучно прошел.{nl}Он искал вас. Иди и помоги ему.{nl}Охранники не будут называть наши имена Рофделу.{nl}Все, что они принимали до сих пор, противоречило военным законам.	스테포나스는 무사히 지나갔습니다.{nl}그 친구가 당신을 찾더군요. 가서 그를 도와주십시오.{nl}경비병들이 우리 이름을 로프델에게 언급하는 일은 없을겁니다.{nl}자기들이 여태까지 받아간게 모두 군법에 어긋나는 행동이니까요.
QUEST_LV_0200_20150317_000304	Штаб собирает старые записи, которые Королевская армия не смогла очистить.{nl}Поскольку вы сами видели это несколько раз, почувствовали ли вы что-то подозрительное?	기사단 본부에선 왕국군이 미쳐 치우지 못한 예전 기록물들을 수집하고 있습니다.{nl}당신도 몇 번 봤다면 뭔가 이상한 낌새를 차리셨겠지요?
QUEST_LV_0200_20150317_000305	Королевская армия распространяет рекламные материалы, восхваляющие великого премьер-министра прошлого, премьер-министра и грабителей могил.{nl}Получите, пожалуйста, эту листовку. Будет лазейка, если мы сравним это с историческими данными, которые мы собрали.	왕국군은 과거 위대한 재상인 프리미어 에미넌트를 찬양하고 도굴꾼들을 회유하는 선전물을 뿌리고 있습니다.{nl}그걸 좀 구해와 주십시오. 우리가 모아온 사료들과 비교해보면 분명 헛점이 보일태니까요.
QUEST_LV_0200_20150317_000306	Королевская армия испытывала трудности с вербовкой с 4 лет назад, поэтому они распространяли подобные листовки кочевникам за пределами павшего города или грабителям могил, чтобы они могли подать заявку.{nl}Конечно, с ними будут обращаться как с рабами, когда в мире станет лучше жить.	4년전부터 왕국군의 병력 충원이 원활하지 않자 폐허 외부의 유랑민이나 내부의 도굴꾼들을 상대로 이런 전단지를 뿌려서 왕국군 입대를 권유하고 있습니다.{nl}보나마나 세상이 좋아지면 노예취급이나 받게 되겠지요.
QUEST_LV_0200_20150317_000307	Итак, вот что там написано. Они сделали такие позорные истории для невежественных людей героическим эпосом.{nl}Я отправлю это в штаб.	이런 내용들이 군요. 낯간지러운 이야기들을 몽매한 사람들에게 영웅의 서사시처럼 보이도록 참 잘 써놨습니다.{nl}이건 기사단 본부로 보내도록 하겠습니다.
QUEST_LV_0200_20150317_000308	Ты тот, кто дал мне возможность.{nl}Вы заслуживаете аплодисментов за понимание и выполнение неосмотрительных планов Ганса, но мы должны молчать, поэтому просто примите мою благодарность.	네가 바로 날 위해 기회를 만들어준 은인이로군.{nl}한스의 무모한 생각을 완벽하게 이해하고 실행하다니 박수받을 만해, 하지만 조용히 있어야 하니 마음만 받아줘
QUEST_LV_0200_20150317_000309	Я позвонил тебе, чтобы найти Морозное Ядро, которое я обещал рыцарям Калисс.{nl}Но я не знал, что охранники так ходят! Планы меняются.	내가 널 부른 이유는 칼리스 기사단과 약속한 서리핵을 찾아주기 위해서야.{nl}그런데 경비병들이 저렇게 돌아다니고 있다곤 듣지 못했어! 작전 변경이야
QUEST_LV_0200_20150317_000310	Ледяное ядро, которое мы ищем, находится внутри Stone Froster. Чтобы избавиться от него, вам понадобится очень сильная бомба.{nl}Принесите мне порох для каменного ружья из монстров неподалеку от руин водяной мельницы. Потом обработаю, чтобы было полезно.	우리가 찾는 서리핵은 스톤프로스터라는 녀석의 몸뚱아리 안에 요동치고 있어 그걸 꺼내려면 아주 강력한 폭탄이 필요할꺼야.{nl}물레방앗간 폐허 주변에서 몬스터를 처치하고 돌맹이 화약을 가져와 줘 내가 그럼 그걸 가공해서 쓸만한게 만들어주지
QUEST_LV_0200_20150317_000311	Кто-то наблюдает за Даунтаун-стрит с Южной сторожевой башни.{nl}Будет непросто заставить его игнорировать суету, которую мы с вами устроили.{nl}Так что просто делай, как я тебе говорю.	남쪽 망루에서 중심시가지를 내려다보는 녀석이 있다는 군.{nl}웬만한 공적으론 그녀석이 여기서 너와 내가 소란떤걸 눈감아주지 않을꺼야.{nl}그러니 내가 시키는 대로 해
QUEST_LV_0200_20150317_000312	Ах, это сделает большой взрыв даже при небольшом ударе. Хорошо! Подожди минуту.	아, 이거 살짝만 부딪쳐도 대폭발을 일으킬 물건이군. 좋아! 잠시만 기다려봐
QUEST_LV_0200_20150317_000313	Чтобы он не взорвался у вас в руках, вы должны либо сделать из него бомбу замедленного действия, либо бросить ее.{nl}Но вы не можете найти здесь предохранитель, и он не загорается из-за пыли.{nl}Я дам тебе обработанный каменный порох, брось его монстрам. Если вам повезет, он произведет большой взрыв без всякого шума, а если нет, он разозлит их.	네 손에서 폭탄이 터지는 일을 막으려면 시한폭탄으로 만들거나 던지거나 둘 중하나지{nl}그런데 여긴 도화선을 구할만한 곳도 없어 먼지 때문에 불이 잘 붙지도 않고 말이야{nl}가공된 돌맹이 화약을 네게 줄태니 이걸 몬스터에게 던져봐 운이 좋다면 별다른 소음없이 강력한 폭발을 일으킬거고 그게 아니면 화만 돋구겠지.
QUEST_LV_0200_20150317_000314	Если мы не сможем это сделать, мы не сможем даже начать со следующего шага.	그걸 제대로 처리하지 못 하면 다음일은 시작도 할 수 없다구
QUEST_LV_0200_20150317_000315	Он не взорвется сразу и взрыв не устойчивый. Что делать...	부딪치고 바로 터지지도 않고 화력도 제멋대로군. 이를 어쩐다
QUEST_LV_0200_20150317_000316	Для того, чтобы он прилип к монстру! а потом взорвать БАМ! тогда нам нужно что-то с повышенной вязкостью.{nl}Можно ли получить Sticky Liquid у монстров в Вискасе?	던졌을 때 몬스터에 착!하고 붙어서 펑!하고 터지게 하려면 아무래도 점성이 강한 물건이 필요할 것 같아{nl}비스카스 폐허에서 몬스터를 처치하고 녀석들에게 반죽된 점액을 가져와 주겠어?
QUEST_LV_0200_20150317_000317	Я повторю это еще раз, но это единственный способ обезопасить вас.	다시 말하지만 네가 안전하려면 이거말곤 방법이 없다구
QUEST_LV_0200_20150317_000318	Я думаю, ты пролил немного по дороге. Жалко для твоей новой обуви.	오다 조금 흘린거 같은데? 새 신발 같은데 어쩌나
QUEST_LV_0200_20150317_000319	Вы найдете жесткий Stone Froster в жилом районе.{nl}Он дымит чем-то вроде Окаменевшего Мороза, но это не так опасно.{nl}Бросьте это ему, чтобы разбудить.	주거 지구에 가면 멍청하게 굳어있는 스톤프로스터를 발견할 수 있을거야.{nl}녀석은 석화서리 비슷한걸 내뿜는 데 크게 위협적이진 않아.{nl}녀석을 깨우려면 이걸 스톤프로스터에게 던지면 돼
QUEST_LV_0200_20150317_000320	Не забудьте держаться подальше после того, как наклеите его!	부착한 뒤에 멀찌감치 떨어지는 거 잊지말고!
QUEST_LV_0200_20150317_000321	Может быть, на этот раз это даже видно по Федимяну.	아마 이번껀 페디미안에서도 보일지 모르겠군.
QUEST_LV_0200_20150317_000322	Итак, это ледяное ядро, которое беспокоило многих…{nl}Солдаты, которые помогали вам, расскажут парню, наблюдающему со сторожевой башни, о ваших героических историях, чтобы они не заподозрили вас.{nl}Не волнуйтесь.	이게 그 서리핵이구만, 이딴거 하나 구하자고 몇이나 고생시키는 건지..{nl}너를 도와준 병사들이 망루에서 구경하는 녀석에게 너의 무용담을 늘어놀태니 의심받는 일은 없겠지.{nl}걱정하지 말라구
QUEST_LV_0200_20150317_000323	Сторожевая башня начинает разрушаться. Поддержка была сокращена годами, и здесь негде присматривать за этой областью.{nl}Мы не можем отправить войска к Федимиану, поэтому нам нужно быть самодостаточными.	망루의 곳곳이 붕괴되어 가고 있습니다. 지원이 끊긴지 벌써 몇 년이나 지났고 여기만큼 이 지역을 둘러보기 좋은 곳도 없지요.{nl}병력들을 페디미안에 보낼 수도 없는 상황이니 결국 현지에서 조달하는 수밖에 없습니다.
QUEST_LV_0200_20150317_000324	Пока ты ее, сможешь ли ты избавиться от монстров возле Вадовского дока и получить от них кусок извести?	기왕 당신이 온 김에  바도바 선착장 주변에서 몬스터를 처치하고 녀석들에게 석회 덩어리를 모아와 주실 수 있겠습니까?
QUEST_LV_0200_20150317_000325	Я не могу найти рабочих, поэтому новобранцы работают и восстанавливают лифты.	인부들을 구할 수도 없어서 신입들에게 군사훈련 대신 승강기 운영이나 보수를 맡기고 있습니다.
QUEST_LV_0200_20150317_000326	Спасибо.{nl}Нам лучше начать восстанавливать, когда закончится следующий Окаменелый мороз.	구해주셔서 감사합니다.{nl}다음 석화서리가 끝나면 보수를 시작해야겠군요.
QUEST_LV_0200_20150317_000327	Есть лаймы, которые постоянно плывут по Вадовской пристани.{nl}Это запись о катастрофе 600 лет назад.{nl}Они понижают боевой дух солдат, поэтому офицеры возвращают или уничтожают их.{nl}Но мы больше не можем этого делать, поэтому я хочу, чтобы вы принесли их мне.	바도바 선착장에 주기적으로 미쳐 치우지 못한 석화물들이 떠내려오고 있습니다.{nl}비참한 비극이 있던 육백년 전의 기록들이죠.{nl}우리 병사들의 사기를 떨어뜨리는 내용들이 많아서 장교들끼리 회수하거나 파괴하곤 했습니다.{nl}하지만 지금은 그렇게 하지 못하니 당신이 그걸 좀 가져와 주십시오.
QUEST_LV_0200_20150317_000328	Чтение о смертельной агонии повстанцев вызывает у нас мурашки по коже.	반란군들의 단말마가 적혀있는 내용들을 보면 우리 장교들도 소름 끼칠때가 많습니다.왕국군 로프델
QUEST_LV_0200_20150317_000329	Надо сломать этот и использовать его, чтобы восстановить сторожевую башню. Он убивает двух зайцев одним выстрелом.	이 무거운건 부셔서 망루 보수에 써야겠군요. 일석이조니까요
QUEST_LV_0200_20150317_000330	Монстры, которые не смогли убежать от Окаменевшего Мороза, собрались в разрушенном порту Амоси под сторожевой башней.{nl}Проблема в том, что из-за этого собираются другие монстры.{nl}Некоторые даже ведут себя так, как будто он окаменел, и обманывают охранников.	석화서리를 미쳐 피하지 못한 몬스터들이 망루 아래 파괴된 아모시 선착장에 모여있습니다.{nl}문제는 그것들 때문에 몬스터들이 꼬인다는 거지요.{nl}그 중엔 석화된 척 경비병들을 기만하는 녀석도 생겼습니다.
QUEST_LV_0200_20150317_000331	Сможете ли вы о них позаботиться?	녀석들을 좀 처리해 주실 수 있겠습니까?
QUEST_LV_0200_20150317_000332	Раньше это был большой город, который даже не сравним с Клайпедой или Федимианом.{nl}Но когда люди уезжали, монстры начали заполнять место.{nl}С тех пор монстры приспособились к городу даже умнее людей.	클라페다나 페디미안과는 비교가 되지 않을 정도로 이 곳은 과거에 거대한 도시였습니다.{nl}하지만 사람이 모두 사라진 이후 그 자리엔 몬스터들이 하나 둘 잠식하기 시작했죠.{nl}그때부터 몬스터들은 인간들보다 더 영리하게 이 도시에 적응하기 시작했습니다.
QUEST_LV_0200_20150317_000333	Вы лучше знаете, чем должна заниматься Королевская армия, чем сама армия.{nl}Есть ли у вас какие-нибудь мысли о подаче заявления в Королевскую армию? Я просто шучу.	왕국군들이 해야할 일을 당사자들 보다 훨씬 잘 하시는 군요.{nl}혹시 왕국군에 입대할 생각 없으십니까? 농담입니다.
QUEST_LV_0200_20150317_000334	Мы теряем несколько солдат, когда проносится Окаменелый мороз.{nl}Королевство не может поддержать погибших солдат, поэтому количество наших людей, охраняющих территорию, уменьшается.{nl}Итак, мы придумали идею обучить беженцев и грабителей могил стать охранниками.	석화서리가 한 번 지나가면 손가락 숫자만큼 병력들을 잃게 됩니다.{nl}손실된 병력을 본국에서 지원해줄 여력이 없으니 경비임무를 맡을 인원들도 점점 줄어들고 있습니다.{nl}묘안으로 떠오른 방법이 피난민과 도굴꾼들을 회유하여 경비병으로 길러내는 거지요.
QUEST_LV_0200_20150317_000335	Что мы можем сделать здесь, так это развесить эту листовку на Даунтаун-стрит.{nl}Ты можешь это сделать?	여기서 할 수 있는 건 중심시가지를 돌아다니면서 이 전단지를 부착하는 겁니다.{nl}해주실 수 있겠습니까?
QUEST_LV_0200_20150317_000336	Я уверен, что люди берут листовки, но в последнее время количество желающих уменьшилось.{nl}Это либо грабители могил начали проверять внутри, либо монстры думают об этом как о еде и едят ее.{nl}Разве это не подозрительно?	분명 누군가 전단지를 가져가는 것 같은 데 최근 지원자는 줄어들고 있어요.{nl}도굴꾼 녀석들이 내부단속을 시작했거나 몬스터가 먹을 것인줄 알고 뜯어가는 거겠지요.{nl}참 수상하지 않습니까?
QUEST_LV_0200_20150317_000337	Спасибо. Если вы будете служить королевству, как Premier Eminent, я уверен, что вы сыграете важную роль, когда королевство будет процветать.	고맙습니다. 당신도 프리미어 에미넌트처럼 왕국을 위해 봉사한다면 머지 않아 살기 좋아지면 분명 나라의 중요한 인물이 될 수 있을 겁니다.
QUEST_LV_0200_20150317_000338	Вильгельмина Кэрриот	빌헬미나 캐리어트
QUEST_LV_0200_20150317_000339	Здесь нет ничего более бесполезного и глупого, чем помощь Королевской армии.{nl}Если вы хотите кому-то помочь, я прошу вас помочь нам.	여기선 왕국군을 돕는 것 만큼 멍청하고 비효율 적인 일이 없을 겁니다.{nl}기왕 누군가를 도와줘야 겠다면 이렇게 사정할태니 우릴 도와주십시오.
QUEST_LV_0200_20150317_000340	Количество монстров в Зале Ковоса увеличивается.{nl}Мы даже не знаем, что их сюда ведет.{nl}Пожалуйста, избавьтесь от них.	코보스 전당터의 몬스터들이 마구잡이로 늘어나고 있습니다.{nl}무엇에 이끌려 오는지도 알 수 가 없는 상태입니다.{nl}녀석들을 좀 처치해 주십시오.
QUEST_LV_0200_20150317_000341	Я слышал, у тебя большой боевой опыт.{nl}Есть даже истории о том, как вы спасали города и деревни. Я с нетерпением жду того великого, что увидели эти люди.	전투경험이 많다고 들었습니다.{nl}도시와 마을을 구했다는 이야기도 전해지더군 그 사람들이 얼마나 대단한 모습을 보았는지 기대되는 군요.
QUEST_LV_0200_20150317_000342	Вы так хороши, как говорят слухи. Рыцарям Калисса нужны такие герои, как вы.	소문대로 대단하군요. 칼리스 기사단은 당신같은 영웅이 꼭 필요합니다.
QUEST_LV_0200_20150317_000343	В этом районе много каменных обломков и пыли, поэтому многие солдаты и рыцари сильно кашляют.{nl}Штаб присылает нам освежающие конфеты, смешанные с лекарственными травами.{nl}Но наши солдаты были охвачены окаменевшим морозом, когда несли наши припасы на этот месяц, и монстры украли все это.	이 곳은 돌부스러기와 먼지가 심하게 휘날려서 많은 병사와 기사단원들이 기침을 심하게 합니다.{nl}기사단 본부에선 우리를 위해 약초를 섞은 상쾌한 알사탕을 보내주고 있습니다.{nl}이번 달 분량을 가져오던 병력들이 석화서리에 당하는 바람에 몬스터들에게 모두 빼앗기고 말았죠.
QUEST_LV_0200_20150317_000344	Сможешь ли ты победить этих монстров и вернуть освежающие конфеты?	몬스터들을 처치하고 상쾌한 알사탕을 가져와 주실 수 있겠습니까?
QUEST_LV_0200_20150317_000345	Я хотел бы дать вам немного, если у нас есть массовки.{nl}Даже грабители могил охотятся на конфеты.	여분이 있다면 당신에게도 좀 드리고 싶군요.{nl}도굴꾼녀석들조차 이 알사탕을 노릴정도니까요.
QUEST_LV_0200_20150317_000346	Я не буду винить тебя, если ты съешь одну тайно.{nl}Но ты, кажется, не такой человек.	몰래하나 빼드셨다고 해도 뭐라하지 않겠습니다.{nl}하지만 그럴 분으로 보이진 않군요.
QUEST_LV_0200_20150317_000347	Некоторое время назад солдаты, патрулирующие этот район, были охвачены Окаменевшим морозом, когда проходили мимо Сталактитовой площади.{nl}Мы состоим только в Королевской армии, но в основном мы жители провинции Калисс.{nl}Я хочу помочь своим родным из дома.	얼마전 이곳을 순찰하던 병사들이 돌고드름 광장을 지나다가 석화서리에 당했습니다.{nl}소속이 왕국군 병사지 사실 우리 칼리스 지방의 영주민이 대부분이지요.{nl}고향사람들을 돕고 싶습니다.
QUEST_LV_0200_20150317_000348	Но вывести их из проклятия невозможно.{nl}Мы можем получить только их последнюю волю и подарки для их семей.{nl}Вы не проявите к ним доброту?	하지만 그들을 그 저주에서 벗어나게 할 방법이 없습니다.{nl}다만 마지막 유언과 가족들에게 전달할 유품을 받아 올 순 있겠지요.{nl}그들에게 마지막 자비를 배풀어 주지 않겠습니까?
QUEST_LV_0200_20150317_000349	Я понимаю их преданность королевству, но когда я вижу, как они заставляют людей делать невозможные вещи, которые приводят к смерти, я больше не знаю, кто это монстр.	왕국에 충성하는 그 충심은 이해하지만 불가능한 일을 해서 사람들을 죽어나가게 하는 걸 보면 누가 몬스터인지 모르겠습니다.
QUEST_LV_0200_20150317_000350	Бред какой то!{nl}Вы имеете в виду, что их всех больше нет?{nl}Мне очень жаль, что я заставил вас столкнуться с таким несчастьем.	말도 안 돼!{nl}그 많은 생명들이 모두 사라졌단 말입니까?{nl}당신에게 그런 불행을 마주하게 해서 정말 미안합니다.
QUEST_LV_0200_20150317_000351	Чтобы восстановить город, рыцари Калисса набирают больше людей, чем их бюджет может выдержать.{nl}Меня также недавно наняли, чтобы снять проклятие с помощью заклинания.{nl}Но они просто вербуют людей без всякой поддержки впоследствии.	칼리스 기사단은 그들의 자금이 허용하는 범위를 넘어서 이 도시의 복원을 위해 많은 사람들을 모집하고 있습니다.{nl}저도 최근 주술적인 방법으로 저주를 해제하고자 고용되었으니까요.{nl}하지만 사람만 모아놓고 지원은 하나도 해주지 않고 있군요.
QUEST_LV_0200_20150317_000352	Если мои предположения верны, высока вероятность, что все происходящее здесь является результатом чьего-то зловещего заклинания.{nl}Для проверки нам нужны эликсиры, чтобы вытащить кого бы то ни было.{nl}Сможете ли вы победить монстров в Священном порту и получить их?	제 추측이 맞다면 여기에서 벌어지는 모든일은 누군가의 사념으로 만들어진 주술일 가능성이 높습니다.{nl}그걸 알아보기 위해선 사념체를 끌어낼 수 있는 영약이 필요합니다.{nl}성체 보루에서 몬스터들을 처치하고 그것들을 모아주실 수 있겠습니까?
QUEST_LV_0200_20150317_000353	Новые методы всегда приводят к новым направлениям.{nl}Я сниму это проклятие.	항상 새로운 방법은 새로운 방향으로 발전하기 마련입니다.{nl}이 저주를 풀어내고야 말겠습니다.
QUEST_LV_0200_20150317_000354	Этого достаточно для приготовления эликсира освобождения.{nl}А теперь приступим.	해방의 영약을 만들 재료가 충분히 모였군요.{nl}그럼 시작해 보죠
QUEST_LV_0200_20150317_000355	Я дам вам этот эликсир освобождения.{nl}Используйте его против окаменевших охранников или грабителей могил.{nl}Их души, заключенные в их тела, могут рассказать вам кое-что о том, чему они в последний раз были свидетелями.	이 해방영약을 드리겠습니다.{nl}석화된 경비병이나 도굴꾼들에게 사용해보세요.{nl}육신에 갇혀버린 그들의 사념이 그들이 마지막으로 본 뭔가를 이야기해줄지도 모릅니다.
QUEST_LV_0200_20150317_000356	Сердитые души могут напасть на вас.	화가난 사념체들은 당신을 공격할 수도 있습니다.
QUEST_LV_0200_20150317_000357	Ничего особенного, кроме того, что жертвы были охвачены страхом перед смертью.{nl}Думаю, мне лучше поискать жертв даже постарше.	그들이 하나같이 공황상태에서 두려움에 떨며 죽어갔다는 것 말고는 알아낼 만한게 없군요.{nl}아무래도 더 오래된 피해자들을 찾아봐야겠어요.
QUEST_LV_0200_20150317_000358	Прежде чем они умрут, окаменевшие жертвы излучают злые мысли.{nl}Пожалуйста, используйте ладан и камень, пока рыцари уйдут, а я пойду. Когда накопится достаточно злых мыслей, мы сможем увидеть, что произошло в тот день.	석화 희생자들이 죽기 전에 방출한 사념들이 곳곳에 흩어져 있을 겁니다.{nl}그들의 육신은 돌이되어 사라졌지만 제가 여기 오면서 기사단과 함께 설치한 향로를 밝혀주세요.{nl}그럼 사념체들이 그곳에 모여들어 그날의 이야기를 들려줄 겁니다.
QUEST_LV_0200_20150317_000359	Пожалуйста, не провоцируйте их. Вы знаете, как у этих ребят.	사념체들을 자극하지 마세요. 어떻게 나올지 모를 녀석들이니까요.
QUEST_LV_0200_20150317_000360	Это серьезные вещи. Я должен доставить его в штаб рыцарей.	심각한 내용들이 많군요. 기사단 본부에 전달해야겠습니다.
QUEST_LV_0200_20150317_000361	Это не бумага или деревья, это живое существо, которое превратилось в камень и умерло…{nl}Где еще могли произойти такие удивительные вещи? Меня очень интересует этот странный феномен.{nl}С вашей помощью я смогу помочь тем, кто еще жив, с минимальными травмами.{nl}Ну, они могут потерять несколько пальцев.	나무나 종이면 몰라도 살아있는 것들이 돌이 되어 죽어버린다니.. 이런 신기한 일이 여기말고 세상어디에 있겠어?{nl}난 이 말도 안 되는 일에 흥미가 많네, 자네가 도와준다면 어쩌면 아직 죽지 않은 사람들이 손가락 몇 개 잃는 정도로 살려낼 수 있을지도 모르지
QUEST_LV_0200_20150317_000362	Вы можете попробовать использовать этот растворитель на монстре? Должно быть, некоторые из них страдают от каменного проклятия.{nl}Если мы можем использовать его на них, не должно ли оно подействовать и на людей?	이 융해제를 우선 몬스터에게 사용해 보겠나? 석화저주에 걸려서 비실거리는 녀석들이 있을 거야.{nl}녀석들에게 써먹을 수 있다면 아마 사람에게도 쓸 수 있지 않을까?
QUEST_LV_0200_20150317_000363	Что вы думаете? Даже если это сработает только на одном или двух из них, все равно будет здорово.	어때? 열 마리 중에 한 녀석이라도 통한다면 정말 대단한 일이 아닐 수 없겠지
QUEST_LV_0200_20150317_000364	Вы не смогли спасти ни одного из них?{nl}Думаю, это не лучший способ. Я заберу то, что осталось.	한 녀석도 못 살려냈단 말인가?{nl}이 방법은 좋지 않겠구만, 남은건 다시 가져가겠네
QUEST_LV_0200_20150317_000365	Я считаю, что мы должны использовать разные препараты и тестировать как можно больше.{nl}Но тогда нам понадобится много образцов.	아무래도 다양한 시약을 사용해서 최대한 많은 실험을 해봐야겠어.{nl}그러려면 표본이 정말 많이 필요해.
QUEST_LV_0200_20150317_000366	Сможете ли вы победить монстров в замке Нейвейкиама и принести мне окаменевшие образцы?	네베키아 성채에서 몬스터들을 처치하고 석화표본을 구해줄 수 있겠나?
QUEST_LV_0200_20150317_000367	Я все еще думаю, ты можешь вернуться позже?	생각 중이니까 나중에 다시 와주겠어?알케미스트 살리아모나스
QUEST_LV_0200_20150317_000368	Этого должно хватить примерно на пять тестов. Хорошая работа.	이 정도면 다섯 번 정도 실험할 분량이 나오겠군, 수고했어
QUEST_LV_0200_20150317_000369	Да упокоятся принесенные в жертву с миром. Однако, как река, привлекающая жаждущих, это место поражает меня и мою жажду знаний.{nl}Но есть глупый монстр, пытающийся разрушить это чудесное место. Сможете ли вы об этом позаботиться?	우선 희생자들의 명복을 비네, 하지만 목마른 사람에게 강물이 매력적이듯, 지식에 목마른 내겐 여긴 정말 대단한 곳이야.{nl}이 멋진 장소를 더럽히고 파손시키는 멍청한 몬스터가 있는 데, 녀석을 좀 처리해줄 수 있겠나?
QUEST_LV_0200_20150317_000370	Если у него есть мозг, как он может все испортить?{nl}Ну ладно, может поэтому это монстр.	머리가 있으면 이걸 어떻게 부수고 다닐 수 있지?{nl}하긴 그래서 몬스터겠지
QUEST_LV_0200_20150317_000371	Вы победили? Отличная работа!{nl}Теперь мне не нужно бояться сноса этого места, пока не появится другой монстр.	그녀석을 처치했나? 잘 했어!{nl}당분간 다른 녀석이 나타나기 전까진 이 장소가 파괴될까봐 불안해 할 필욘 없겠군
QUEST_LV_0200_20150317_000372	Я слышал о тебе от Вильгельмины. Я слышал, ты в порядке? Но можно ли войти в Крепость Земли без нашей помощи?{nl}Вам понадобится путеводитель, независимо от того, насколько вы хороши. Я возьму тебя, если ты поможешь мне и Вильгельмине.	빌헬미나에게 네 활약은 많이 들었어, 꽤 실력이 좋다며? 하지만 대지의 요새로 우리도움 없이 들어갈 수 있을까?{nl}아무리 실력이 좋아도 길잡이들이 필요할거야, 빌헬미나와 내 계획을 도와준다면 함께 데려가 줄게도굴꾼 아만다
QUEST_LV_0200_20150317_000373	Вильгельмина попросила записи о днях Руклиса в обмен на свою помощь. Можете ли вы забрать его с места сбора впереди?{nl}Я вызову большой переполох, если мы выйдем сами, поэтому я хочу, чтобы вы это сделали.	빌헬미나가 우리일을 도와주는 대가로 루클리스 시대의 기록들을 찾아와 달라고 했는 데, 이 앞 집결지에서 그걸 좀 모아와 줄 수 있겠어?{nl}우리가 나선다면 큰 소란이 일어날거야, 네가 좀 해줘
QUEST_LV_0200_20150317_000374	Мы планируем войти в сокровищницу в Крепости Земли без ведома Королевской Армии.{nl}Но наш путь преграждает горгулья, и мы не можем победить ее сами, не подняв шума.{nl}Вот почему нам нужна ваша помощь и помощь Вильгемины.	우린 왕국군 몰래 대지의 요새 안에 있는 보물이 가득한 방에 들어갈 생각이야.{nl}하지만 내가 들어가려고하면 가고일이 막아서는 데 우리힘으론 소란피우지 않고 녀석을 제압할 방법이 없어{nl}그래서 너와 빌헬미나의 도움이 필요해도굴꾼 아만다
QUEST_LV_0200_20150317_000375	Вы видели статую Горгульи в зоне сбора? Он движется всякий раз, когда я пытаюсь приблизиться к нему, поэтому я не могу попасть в Крепость Земли.{nl}Вильгельмина говорит, что у нее есть инструмент, чтобы подавить его, поэтому вам просто нужно передать то, что вы нашли, и забрать это у нее.	집결지에서 가고일 석상을 봤지? 그녀석은 내가 다가 가기만 해도 살아서 움직이는 턱에 대지의 요새로 들어갈 수가 없어.{nl}빌헬미나에게 녀석을 제압할 도구가 있다고 하니 이제 네가 찾아준걸 넘겨주고 넌 그걸 받아오기만 하면돼도굴꾼 아만다
QUEST_LV_0200_20150317_000376	В отличие от других рыцарей, Вильгельмина, кажется, что-то почувствовала.{nl}Мы работаем в перчатках, так что с тех пор, как сюда приехала Вильгельмина, им стало легче работать.	빌헬미나는 예전 기사단 책임자들과 다르게 뭔가를 눈치챈 모양이야.{nl}덕분에 우리랑 아주 손발이 잘 맞아 떨어져서 빌헬미나가 이곳에 온 후론 우리 식구들이 활동하기가 좀 수월해 졌어.도굴꾼 아만다
QUEST_LV_0200_20150317_000377	А теперь передай эти записи Вильгельмине и возьми то, что нам нужно.	이제 이 기록물들을 빌헬미나에게 가져다 줘, 그리고 우리가 필요한 그 물건을 가져와.도굴꾼 아만다
QUEST_LV_0200_20150317_000378	Наконец, прибыли нетронутые Королевской Армией записи.{nl}Это… любовное письмо? Мне он не нужен, так что ты можешь взять или выбросить.	드디어 왕국군의 손을 타지 않은 멀쩡한 기록물이 왔군요.{nl}이건.. 연애편지? 필요 없으니 당신이 가지던가 버리세요.빌헬미나 캐리어트
QUEST_LV_0200_20150317_000379	Хм… В нем почти все, что нам нужно. Я лучше отправлю это в штаб.{nl}Я дам вам этот свиток вакуума. Используйте это на Горгулье, которая издевается над Амандой.{nl}Никакой звук не будет передаваться, даже если внутри вас случится взрыв или гром, поэтому Королевская армия не поймет.	음.. 우리가 필요로하는 내용은 대부분 있군요. 기사단 본부에 보내야겠습니다.{nl}이 진공스크롤을 드리겠습니다. 이걸 아만다를 괴롭히는 가고일에게 사용하세요.{nl}당신들이 그 안에서 대폭발을 일으키고 천둥번개를 몰아친다해도 소리가 밖으로 새어나가지 않으니 왕국군은 못알아 차릴 겁니다.빌헬미나 캐리어트
QUEST_LV_0200_20150317_000380	У рыцарей Калисса есть очень хорошие волшебники, поэтому они дадут нам то, что нам нужно.	칼리스 기사단은 꽤 쓸만한 마법사들을 데리고 있으니 우리에게 도움이 될만한 물건을 줄거야.도굴꾼 아만다
QUEST_LV_0200_20150317_000381	Выглядит приятнее, чем я ожидал. Я думал, она даст нам что-нибудь вроде баллисты или пушки.{nl}Но я думаю, это было бы лучше для нас?	생각보다 수수하게 생긴 물건이네, 난 발리스타나 대포같은걸 줄거라고 생각했는데{nl}하지만 지금은 이게 가장 훌륭한 방법이겠지?도굴꾼 아만다
